"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees.
"
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"3 Jul 2024 11:41:46 am UTC","22572820122","Order
","171-1269786-0030736","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","ALWAR","RAJASTHAN","301001","299.00","0","0","0","0","0","0","0","-17.64","0","-10.62","0","270.74"
"3 Jul 2024 11:41:54 am UTC","22572908662","Order
","404-1845776-9225105","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","GURUGRAM","HARYANA","122018","299.00","0","0","0","0","0","0","0","-17.64","0","-10.62","0","270.74"
"3 Jul 2024 11:42:05 am UTC","22572820122","Order
","408-6257285-1941908","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","MUMBAI","MAHARASHTRA","400067","299.00","0","0","0","0","0","0","0","-17.64","0","-10.62","0","270.74"
"3 Jul 2024 11:42:17 am UTC","22572908662","Order
","402-3671104-5905969","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","2","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","NOIDA","UTTAR PRADESH","201304","598.00","0","0","0","0","0","0","0","-35.28","0","-21.24","0","541.48"
"3 Jul 2024 11:01:18 pm UTC","22572820122","Shipping Services
","408-1171460-0968322","","Amazon Easy Ship Weight Handling Fee Reversal","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","90.86","0","90.86"
"3 Jul 2024 11:16:03 pm UTC","22572820122","Refund
","408-1171460-0968322","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","MUMBAI","MAHARASHTRA","400067","-299.00","0","0","0","0","0","0","0","17.64","0","10.62","0","-270.74"
"4 Jul 2024 9:51:40 am UTC","22572820122","Shipping Services
","402-0367065-4190718","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-66.08","0","-66.08"
"4 Jul 2024 10:06:53 am UTC","22572820122","Order
","402-0367065-4190718","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","Haldwani","UTTARAKHAND","263139","299.00","0","0","0","0","0","0","0","-17.64","0","-10.62","0","270.74"
"5 Jul 2024 8:24:45 am UTC","22572820122","SAFE-T Reimbursement","171-2132639-1334758","101_bottle_20L","SAFE-T Claim ID: 19715-70974-9079340","3","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","716.64","716.64"
"5 Jul 2024 9:24:02 am UTC","22572820122","Shipping Services
","403-2980888-4395528","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-90.86","0","-90.86"
